totalIterations;numWorkers;Duree;Pi;Error
72072000;1;4847;3,141641802641802700000000000000;0,000049149052009589410000000000
72072000;1;4736;3,141908924408924400000000000000;0,000316270819131325700000000000
72072000;1;4866;3,141654678654678600000000000000;0,000062025064885506960000000000
72072000;1;4810;3,141415695415695500000000000000;-0,000176958174097574530000000000
72072000;1;4973;3,141496725496725400000000000000;-0,000095928093067687570000000000
72072000;2;4751;3,141288322788322600000000000000;-0,000304330801470520400000000000
72072000;2;4766;3,141692973692973700000000000000;0,000100320103180617790000000000
72072000;2;4604;3,141617937617937600000000000000;0,000025284028144501036000000000
72072000;2;4901;3,141323509823510000000000000000;-0,000269143766283175270000000000
72072000;2;4712;3,141564657564657600000000000000;-0,000027996025135479385000000000
72072000;3;4817;3,141460095460095300000000000000;-0,000132558129697812900000000000
72072000;3;4843;3,141675546675547000000000000000;0,000082893085753710240000000000
72072000;3;5269;3,141874514374514000000000000000;0,000281860784721033040000000000
72072000;3;5302;3,141944055944056000000000000000;0,000351402354263008500000000000
72072000;3;5585;3,141518481518481600000000000000;-0,000074172071311551240000000000
72072000;4;5411;3,141277444777444700000000000000;-0,000315208812348366500000000000
72072000;4;5372;3,141945887445887000000000000000;0,000353233856094092860000000000
72072000;4;5401;3,141889554889554700000000000000;0,000296901299761565000000000000
72072000;4;5434;3,141482128982129000000000000000;-0,000110524607664252980000000000
72072000;4;5391;3,141766899766899700000000000000;0,000174246177106596180000000000
72072000;5;5535;3,141595071595072000000000000000;0,000002418005278670421000000000
72072000;5;5571;3,141813797313797000000000000000;0,000221143724004058130000000000
72072000;5;5483;3,141485070485070500000000000000;-0,000107583104722586140000000000
72072000;5;5325;3,141689255189255000000000000000;0,000096601599461898500000000000
72072000;5;5348;3,141807248307248600000000000000;0,000214594717455440800000000000
72072000;6;5305;3,141339660339660600000000000000;-0,000252993250132504950000000000
72072000;6;5735;3,141623043623044000000000000000;0,000030390033250782267000000000
72072000;6;5540;3,141585803085803300000000000000;-0,000006850503989852541000000000
72072000;6;5492;3,142034854034854000000000000000;0,000442200445061047300000000000
72072000;6;5802;3,141697913197913500000000000000;0,000105259608120356060000000000
72072000;7;6161;3,141625818625818600000000000000;0,000033165036025462060000000000
72072000;7;5913;3,141553890553890700000000000000;-0,000038763035902444900000000000
72072000;7;5695;3,141504606504606400000000000000;-0,000088047085186726550000000000
72072000;7;5702;3,141637418137418300000000000000;0,000044764547625142370000000000
72072000;7;5625;3,141978965478965600000000000000;0,000386311889172485930000000000
72072000;8;6094;3,141421300921301000000000000000;-0,000171352668492108500000000000
72072000;8;5566;3,141523032523032600000000000000;-0,000069621066760561230000000000
72072000;8;5527;3,141564657564657600000000000000;-0,000027996025135479385000000000
72072000;8;5579;3,141828449328449400000000000000;0,000235795738656285900000000000
72072000;8;5389;3,141646575646575500000000000000;0,000053922056782340630000000000
72072000;9;5426;3,141596514596514600000000000000;0,000003861006721450622000000000
72072000;9;6034;3,141387501387501200000000000000;-0,000205152202291891680000000000
72072000;9;5352;3,141537018537018600000000000000;-0,000055635052774505310000000000
72072000;9;5330;3,141752469752469700000000000000;0,000159816162676573730000000000
72072000;9;5537;3,141584970584970500000000000000;-0,000007683004822567341000000000
72072000;10;5529;3,141763458763459000000000000000;0,000170805173665744550000000000
72072000;10;5686;3,142004051504051700000000000000;0,000411397914258593300000000000
72072000;10;5480;3,141621101121101000000000000000;0,000028447531307929097000000000
72072000;10;5363;3,141787434787435000000000000000;0,000194781197641713530000000000
72072000;10;5442;3,141100843600843600000000000000;-0,000491809988949487600000000000
72072000;11;5169;3,141443667443667000000000000000;-0,000148986146125906770000000000
72072000;11;5725;3,141742424242424000000000000000;0,000149770652630998300000000000
72072000;11;5674;3,141200688200688000000000000000;-0,000391965389105131100000000000
72072000;11;5495;3,141636696636697000000000000000;0,000044043046903752270000000000
72072000;11;5528;3,141616272616272600000000000000;0,000023619026479515526000000000
72072000;12;5392;3,141713009213009200000000000000;0,000120355623216106270000000000
72072000;12;5360;3,141580031080031300000000000000;-0,000012622509761861522000000000
72072000;12;5622;3,141672827172827000000000000000;0,000080173583033804620000000000
72072000;12;5441;3,141595182595182700000000000000;0,000002529005389551031000000000
72072000;12;5452;3,141448828948829000000000000000;-0,000143824640963963200000000000
72072000;13;5272;3,141138361638361700000000000000;-0,000454291951431429200000000000
72072000;13;5366;3,141559274059274000000000000000;-0,000033379530519184186000000000
72072000;13;5676;3,141314962814963000000000000000;-0,000277690774830308130000000000
72072000;13;5264;3,141412587412587300000000000000;-0,000180066177205784330000000000
72072000;13;5753;3,141712842712842700000000000000;0,000120189123049563300000000000
72072000;14;5550;3,142074647574647700000000000000;0,000481993984854600650000000000
72072000;14;5349;3,141589688089688000000000000000;-0,000002965500105034380000000000
72072000;14;5354;3,141719169719169500000000000000;0,000126516129376419430000000000
72072000;14;5677;3,141795149295149200000000000000;0,000202495705356131600000000000
72072000;14;5379;3,141558441558441700000000000000;-0,000034212031351454900000000000
72072000;15;5687;3,141636252636252500000000000000;0,000043599046459341650000000000
72072000;15;5551;3,142021867021867000000000000000;0,000429213432073805000000000000
72072000;15;5526;3,141468864468864000000000000000;-0,000123789120928918800000000000
72072000;15;5864;3,141685037185037000000000000000;0,000092383595243994420000000000
72072000;15;5521;3,141500610500610700000000000000;-0,000092043089182425320000000000
72072000;16;5410;3,141742091242091000000000000000;0,000149437652297912400000000000
72072000;16;5549;3,141439227439227500000000000000;-0,000153426150565572070000000000
72072000;16;5447;3,141568431568431600000000000000;-0,000024222021361541834000000000
72072000;16;5234;3,141548673548673500000000000000;-0,000043980041119606740000000000
72072000;16;5600;3,141668720168720300000000000000;0,000076066578927225240000000000
